scenario_group,band,spans,launch_power_dbm,seed,symbols,ssfm_steps_per_span,oesc_uniform_gsnr_db,waveform_samples,stress_noise,stress_nonlinear,stress_implementation
C,C,10,-2.0,1,32768,8,14.408112322111354,65552,0.055,2.8,0.008
C,C,10,-2.0,2,32768,8,14.352199029008435,65552,0.055,2.8,0.008
C,C,10,-2.0,3,32768,8,14.439502672720664,65552,0.055,2.8,0.008
C,C,10,-2.0,4,32768,8,14.40154785122223,65552,0.055,2.8,0.008
C,C,10,-2.0,5,32768,8,14.375684826717507,65552,0.055,2.8,0.008
C,C,10,-2.0,6,32768,8,14.374416519388959,65552,0.055,2.8,0.008
C,C,10,-2.0,7,32768,8,14.398057418841947,65552,0.055,2.8,0.008
C,C,10,0.0,1,32768,8,13.936489113600137,65552,0.055,2.8,0.008
C,C,10,0.0,2,32768,8,13.919635689630528,65552,0.055,2.8,0.008
C,C,10,0.0,3,32768,8,13.928604116515078,65552,0.055,2.8,0.008
C,C,10,0.0,4,32768,8,13.94046979641411,65552,0.055,2.8,0.008
C,C,10,0.0,5,32768,8,13.914252125146707,65552,0.055,2.8,0.008
C,C,10,0.0,6,32768,8,13.935101159060984,65552,0.055,2.8,0.008
C,C,10,0.0,7,32768,8,13.924089807405121,65552,0.055,2.8,0.008
C,C,10,2.0,1,32768,8,12.861815719594524,65552,0.055,2.8,0.008
C,C,10,2.0,2,32768,8,12.873723860169111,65552,0.055,2.8,0.008
C,C,10,2.0,3,32768,8,12.890842906228814,65552,0.055,2.8,0.008
C,C,10,2.0,4,32768,8,12.825011787984277,65552,0.055,2.8,0.008
C,C,10,2.0,5,32768,8,12.896355300211646,65552,0.055,2.8,0.008
C,C,10,2.0,6,32768,8,12.89782214513558,65552,0.055,2.8,0.008
C,C,10,2.0,7,32768,8,12.877431089977412,65552,0.055,2.8,0.008
C,C,10,4.0,1,32768,8,10.726872458495912,65552,0.055,2.8,0.008
C,C,10,4.0,2,32768,8,10.736312444323799,65552,0.055,2.8,0.008
C,C,10,4.0,3,32768,8,10.745553050201892,65552,0.055,2.8,0.008
C,C,10,4.0,4,32768,8,10.846391448716497,65552,0.055,2.8,0.008
C,C,10,4.0,5,32768,8,10.806890990642783,65552,0.055,2.8,0.008
C,C,10,4.0,6,32768,8,10.841581568619219,65552,0.055,2.8,0.008
C,C,10,4.0,7,32768,8,10.700817158833223,65552,0.055,2.8,0.008
S,S,12,-2.0,1,32768,8,13.455674539682,65552,0.055,2.8,0.008
S,S,12,-2.0,2,32768,8,13.501358960070837,65552,0.055,2.8,0.008
S,S,12,-2.0,3,32768,8,13.44841453351915,65552,0.055,2.8,0.008
S,S,12,-2.0,4,32768,8,13.434838950096683,65552,0.055,2.8,0.008
S,S,12,-2.0,5,32768,8,13.471860372769303,65552,0.055,2.8,0.008
S,S,12,-2.0,6,32768,8,13.471410049065991,65552,0.055,2.8,0.008
S,S,12,-2.0,7,32768,8,13.467094329149052,65552,0.055,2.8,0.008
S,S,12,0.0,1,32768,8,12.960531274796994,65552,0.055,2.8,0.008
S,S,12,0.0,2,32768,8,12.960232766294846,65552,0.055,2.8,0.008
S,S,12,0.0,3,32768,8,12.925975435890836,65552,0.055,2.8,0.008
S,S,12,0.0,4,32768,8,12.919862237405187,65552,0.055,2.8,0.008
S,S,12,0.0,5,32768,8,12.93823509576023,65552,0.055,2.8,0.008
S,S,12,0.0,6,32768,8,12.961553596842798,65552,0.055,2.8,0.008
S,S,12,0.0,7,32768,8,12.949128038043154,65552,0.055,2.8,0.008
S,S,12,2.0,1,32768,8,11.829616626061274,65552,0.055,2.8,0.008
S,S,12,2.0,2,32768,8,11.816582738617763,65552,0.055,2.8,0.008
S,S,12,2.0,3,32768,8,11.78164089057066,65552,0.055,2.8,0.008
S,S,12,2.0,4,32768,8,11.714419241059062,65552,0.055,2.8,0.008
S,S,12,2.0,5,32768,8,11.794515756777832,65552,0.055,2.8,0.008
S,S,12,2.0,6,32768,8,11.789003869885272,65552,0.055,2.8,0.008
S,S,12,2.0,7,32768,8,11.76130652495013,65552,0.055,2.8,0.008
S,S,12,4.0,1,32768,8,9.577193290270177,65552,0.055,2.8,0.008
S,S,12,4.0,2,32768,8,9.550935287526066,65552,0.055,2.8,0.008
S,S,12,4.0,3,32768,8,9.509273775950787,65552,0.055,2.8,0.008
S,S,12,4.0,4,32768,8,9.539526985073843,65552,0.055,2.8,0.008
S,S,12,4.0,5,32768,8,9.503451008064413,65552,0.055,2.8,0.008
S,S,12,4.0,6,32768,8,9.605213875771934,65552,0.055,2.8,0.008
S,S,12,4.0,7,32768,8,9.556702320098458,65552,0.055,2.8,0.008
