protocol,band,calibration_powers_dbm,validation_powers_dbm,intercept_db,slope_db_per_dbm,n_calibration_cases,n_validation_cases,holdout_power_dbm,training_powers_dbm,n_training_cases,n_cases
low_power_to_high_power_holdout,C,"-2,0","2,4",0.10162259888961978,1.1372056308741723,2.0,2.0,,,,
low_power_to_high_power_holdout,S,"-2,0","2,4",0.294925936423706,0.9796523778084965,2.0,2.0,,,,
leave_one_power_out,C,,,0.11012391577064928,1.0640793817121197,,1.0,-2.0,"0,2,4",3.0,
leave_one_power_out,C,,,0.025336585745299418,1.0911067546501059,,1.0,0.0,"-2,2,4",3.0,
leave_one_power_out,C,,,0.03894295675071744,1.0849725957584206,,1.0,2.0,"-2,0,4",3.0,
leave_one_power_out,C,,,0.061373082995947265,1.1070184939539185,,1.0,4.0,"-2,0,2",3.0,
leave_one_power_out,S,,,0.15929840527955708,0.914043639367085,,1.0,-2.0,"0,2,4",3.0,
leave_one_power_out,S,,,0.10369235150996577,0.9229438104735728,,1.0,0.0,"-2,2,4",3.0,
leave_one_power_out,S,,,0.23868987490249644,0.9327889932074884,,1.0,2.0,"-2,0,4",3.0,
leave_one_power_out,S,,,0.11555924631861635,0.8451273602296792,,1.0,4.0,"-2,0,2",3.0,
all_case_band_linear_insample,C,,,0.04822238968859548,1.0872924539928899,,,,,,4.0
all_case_band_linear_insample,S,,,0.16106242698408765,0.9133821312278859,,,,,,4.0
