regime,launch_power_dbm,display_name,scenario,n_seeds,gmi_mean,gmi_std,gmi_ci95,ngmi_mean,ngmi_std,ngmi_ci95,ber_mean,ber_std,ber_ci95,gsnr_db_mean,gsnr_db_std,gsnr_db_ci95,rate_tbps_mean,rate_tbps_std,rate_tbps_ci95
easy,4.0,Neural residual,neural_residual,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.786954184525047,0.21669050132308712,0.24520838576864987,0.4266666666666667,0.0,0.0
easy,2.0,Polynomial NLC,poly_nlc,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.432049596195082,0.06444896264601065,0.07293086682802612,0.4266666666666667,0.0,0.0
easy,-2.0,Linear EQ,linear,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.187287078631908,0.01516321709806,0.01715879544775753,0.4266666666666667,0.0,0.0
easy,-2.0,Raw,raw,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.17858813076677,0.020121600364040395,0.022769734317941395,0.4266666666666667,0.0,0.0
easy,4.0,DBP-like,dbp_like,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.804625806390153,0.0313996180194188,0.03553201271528722,0.4266666666666667,0.0,0.0
medium,0.0,Raw,raw,3,3.999994341880845,5.091975150817519e-06,5.762112319101505e-06,0.9999985854702113,1.2729937877043798e-06,1.4405280797753762e-06,0.0,0.0,0.0,20.272997477899384,0.010515739759869103,0.011899679754933416,0.4266660631339569,5.431440160823289e-07,6.146253140319793e-07
medium,0.0,Linear EQ,linear,3,3.9999941649777178,5.137084037536931e-06,5.813157829766487e-06,0.9999985412444294,1.2842710093842327e-06,1.4532894574416217e-06,0.0,0.0,0.0,20.274755163539478,0.01220670491936168,0.013813186967379118,0.42666604426428983,5.479556306541895e-07,6.200701684898481e-07
medium,4.0,DBP-like,dbp_like,3,3.9999930531864076,5.652834873712483e-06,6.396784842603916e-06,0.9999982632966019,1.4132087184281207e-06,1.599196210650979e-06,0.0,0.0,0.0,19.95659805214974,0.02848879300131717,0.03223810412406807,0.4266659256732168,6.029690532248321e-07,6.823237165770465e-07
medium,0.0,Polynomial NLC,poly_nlc,3,3.999972665569631,1.1846823690682196e-05,1.340594301984051e-05,0.9999931663924078,2.961705922670549e-06,3.3514857549601273e-06,0.0,0.0,0.0,20.85969419330984,0.04804990470042574,0.05437358581012027,0.42666375099409404,1.2636611936588428e-06,1.4299672554338968e-06
medium,-2.0,Neural residual,neural_residual,3,3.99961857495093,0.0006606474094546488,0.000747592920988618,0.9999046437377325,0.0001651618523636622,0.0001868982302471545,9.259259259259259e-06,1.6037507477489605e-05,1.814814814814815e-05,24.85958807304878,0.7301734503542487,0.826269042709601,0.42662598132809926,7.046905700849972e-05,7.974324490545693e-05
hard,-2.0,DBP-like,dbp_like,3,3.918177654121704,0.006005832447480216,0.0067962392013105645,0.979544413530426,0.001501458111870054,0.0016990598003276411,0.005138888888888888,0.00040919221840711765,0.00046304458539739307,15.056499984924182,0.007867477473616331,0.008902888864981985,0.4179389497729818,0.0006406221277312381,0.0007249321814731439
hard,-2.0,Linear EQ,linear,3,3.9170201302813665,0.006045126663247091,0.006840704792369741,0.9792550325703416,0.0015112816658117729,0.0017101761980924354,0.00512037037037037,0.00011226255234242755,0.0001270370370370374,15.031958246611547,0.015742327972984083,0.017814121094032524,0.4178154805633458,0.0006448135107463641,0.0007296751778527811
hard,-2.0,Raw,raw,3,3.9165409915990885,0.006507639161682947,0.007364086954701737,0.9791352478997721,0.0016269097904207368,0.0018410217386754342,0.005175925925925926,0.00016276292436339748,0.00018418358766278455,15.032100400286069,0.01691561670737048,0.0191418222846374,0.4177643724372362,0.0006941481772461956,0.000785502608501535
hard,-2.0,Polynomial NLC,poly_nlc,3,3.8835045534165857,0.014459151070742901,0.016362069735375885,0.9708761383541464,0.0036147877676857253,0.004090517433843971,0.006694444444444444,0.0005833333333333332,0.000660103807773472,15.903954128220578,0.006019574914498651,0.006811790266694114,0.4142404856977691,0.0015423094475458862,0.001745287438440068
hard,-2.0,Neural residual,neural_residual,3,3.8282045500770416,0.01825658380109473,0.020659269401208206,0.9570511375192604,0.004564145950273682,0.005164817350302052,0.004990740740740741,0.0004781759753213098,0.0005411070550206693,18.43891228977849,0.09593229411785521,0.10855761023252725,0.40834181867488445,0.0019473689387834452,0.0022036554027955505
